"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N"
"620L600US28054","State House District 54 (2018), Mississippi","17341","277","17064","16669","11808","4664","17","146","0","34","395","381","75","156","41","1","75","14","10","0","6","0","3","0","0","0","0","12","8","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US28055","State House District 55 (2018), Mississippi","16210","231","15979","15640","5037","10408","25","137","0","33","339","320","109","70","36","1","46","31","7","0","20","0","0","0","0","0","0","19","14","2","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US28056","State House District 56 (2018), Mississippi","22557","487","22070","21591","14594","6064","43","812","8","70","479","454","61","195","63","1","74","28","7","0","12","4","0","2","3","4","0","21","11","0","1","3","1","1","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","2","0","0","0","1","0","0"
"620L600US28057","State House District 57 (2018), Mississippi","17438","750","16688","16381","4186","12075","32","67","3","18","307","290","140","68","9","1","40","18","1","0","9","1","0","0","1","2","0","15","14","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"620L600US28058","State House District 58 (2018), Mississippi","19844","504","19340","18980","14961","3180","13","769","6","51","360","350","29","174","64","2","61","5","8","0","5","2","0","0","0","0","0","8","5","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"620L600US28059","State House District 59 (2018), Mississippi","21528","652","20876","20343","16644","2971","34","619","1","74","533","509","60","235","64","8","122","4","10","0","1","3","0","0","0","2","0","17","16","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US28060","State House District 60 (2018), Mississippi","23363","507","22856","22303","17022","5052","30","164","2","33","553","529","85","268","51","3","92","12","9","0","9","0","0","0","0","0","0","24","16","0","0","2","1","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US28061","State House District 61 (2018), Mississippi","21251","848","20403","19916","13501","6074","34","226","46","35","487","471","67","251","42","5","63","14","3","0","10","0","0","0","14","2","0","11","5","0","0","0","3","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","5","1","0","0","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"620L600US28062","State House District 62 (2018), Mississippi","20262","668","19594","19098","15634","3259","23","150","4","28","496","481","57","288","20","0","84","19","2","0","10","0","1","0","0","0","0","12","9","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US28063","State House District 63 (2018), Mississippi","18619","229","18390","18112","6528","11482","14","48","5","35","278","260","79","99","7","0","43","22","3","1","3","1","0","1","0","1","0","16","5","3","0","2","0","0","2","3","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
